INFO:root:Start SimCLR training for 100 epochs.
INFO:root:Training with gpu: cuda.
DEBUG:root:Epoch: 69	Loss: 1.9747835397720337	Top1 accuracy: 63.4765625
DEBUG:root:Epoch: 70	Loss: 1.9409122467041016	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 71	Loss: 2.0472283363342285	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 72	Loss: 1.9507704973220825	Top1 accuracy: 65.4296875
DEBUG:root:Epoch: 73	Loss: 1.7505218982696533	Top1 accuracy: 68.1640625
DEBUG:root:Epoch: 74	Loss: 1.8322618007659912	Top1 accuracy: 63.8671875
DEBUG:root:Epoch: 75	Loss: 2.014690399169922	Top1 accuracy: 59.47265625
DEBUG:root:Epoch: 76	Loss: 1.8814467191696167	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 77	Loss: 1.9263118505477905	Top1 accuracy: 61.1328125
DEBUG:root:Epoch: 78	Loss: 1.6877001523971558	Top1 accuracy: 66.796875
DEBUG:root:Epoch: 79	Loss: 1.6832313537597656	Top1 accuracy: 68.75
DEBUG:root:Epoch: 80	Loss: 1.7955349683761597	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 81	Loss: 1.6085712909698486	Top1 accuracy: 66.40625
DEBUG:root:Epoch: 82	Loss: 1.7340501546859741	Top1 accuracy: 65.72265625
DEBUG:root:Epoch: 83	Loss: 1.9166234731674194	Top1 accuracy: 64.2578125
